Title,People_Review,Selling_Price,Deliver_Charges,Seller_Rating,Shipping_Timing_Rating,Discount_Percentage,Original_Price,Chat_Responce_Rate
World Times The Political World Map Edited by Dr Munawar Sabir,100 Ratings,Rs. 300,Free,98%,97%,Not Found,Not Found,100%
thik grow and rich#rich dad poor dad,61 Ratings,Rs. 400,Free,82%,100%,-55%,Rs. 895,86%
Peer e Kamil By umer Ahmed Best Selling Urdu Book,113 Ratings,Rs. 628,Rs. 99,80%,100%,-58%,"Rs. 1,500",97%
The Silent Patient Novel by Alex Michaelides,43 Ratings,Rs. 250,Free,81%,100%,-75%,Rs. 999,100%
"Rich Dad, Poor Dad / Atomic Habits /Think and Grow Rich ( Combo Deal )",238 Ratings,Rs. 899,Free,87%,100%,-80%,"Rs. 4,499",100%
twisted #book1 love #2 game#3 hate#4lies combo sat,12 Ratings,"Rs. 1,045",Free,88%,100%,Not Found,Not Found,88%
(Cat and Mouse Duet ) Haunting Adeline / _Hunting Adeline by H.D. Carlton set of 2 books,138 Ratings,Rs. 979,Rs. 99,89%,100%,-11%,"Rs. 1,099",98%
The 48 Laws of Power by Robert Greene,93 Ratings,Rs. 499,Rs. 99,91%,100%,-17%,Rs. 599,91%
Beyond the Story: 10-Year Record of BTS Book by BTS and Myeongseok Kang,65 Ratings,Rs. 587,Rs. 99,89%,100%,-35%,Rs. 899,98%
The Psychology of Money by Morgan Housel,135 Ratings,Rs. 329,Free,87%,100%,-81%,"Rs. 1,699",100%
verity by Colleen Hoover,108 Ratings,Rs. 199,Free,88%,100%,-12%,Rs. 225,88%
the psychology of money,39 Ratings,Rs. 225,Free,82%,100%,-75%,Rs. 895,86%
it startswith us #it ends withus by Colleen Hoover book 1$2,13 Ratings,Rs. 410,Free,82%,100%,-67%,"Rs. 1,245",86%
Yaaram Yaram Complete Novel by Sumaira Hameed Best selling urdu reading book,35 Ratings,Rs. 809,Free,87%,100%,-55%,"Rs. 1,799",100%
it end with us by Collen hover,86 Ratings,Rs. 199,Free,88%,100%,Not Found,Not Found,88%
The Intelligent Investor Book by Benjamin Graham,40 Ratings,Rs. 517,Free,87%,100%,-74%,"Rs. 1,999",100%
The Laws of Human Nature by Robert Greene,42 Ratings,Rs. 455,Rs. 99,89%,100%,-24%,Rs. 599,98%
ugly love by Colleen hoover,25 Ratings,Rs. 275,Free,82%,100%,-31%,Rs. 399,86%
it ends with us by Colleen Hoover,16 Ratings,Rs. 196,Free,82%,100%,-61%,Rs. 499,86%
Peer e Kamil And Aab e Hayaat by umera Ahmed,95 Ratings,"Rs. 1,508",Rs. 159,80%,100%,-50%,"Rs. 3,000",97%
The Art of Reading Minds by Henrik Fexeus,66 Ratings,Rs. 281,Free,87%,100%,-72%,Rs. 999,100%
Peer E Kamil Urdu Book By Umera Ahmad,59 Ratings,Rs. 619,Rs. 99,81%,100%,Not Found,Not Found,100%
Haunting Adeline Book by H. D. Carlton,70 Ratings,Rs. 533,Rs. 99,89%,100%,-24%,Rs. 699,98%
Atomic Habits by James Clear (Original),37 Ratings,"Rs. 1,395",Free,94%,100%,-65%,"Rs. 3,995",100%
Mein Kampf Book by Adolf Hitler Urdu Edition,13 Ratings,Rs. 445,Free,98%,97%,-26%,Rs. 600,100%
Allah_Loves by Omar Suleiman,86 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
The 7 Habits of Highly Effective People by Stephen R. Covey,67 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
"Fourth Wing (The Empyrean, #1) by Rebecca Yarros",6 Ratings,Rs. 528,Rs. 99,89%,100%,-24%,Rs. 699,98%
it starts with us by Colleen Hoover,44 Ratings,Rs. 275,Free,88%,100%,Not Found,Not Found,88%
Trading Technical Analysis Book In Urdu For All Market Trader Classic Chart Patterns Book With 100% Accuracy,9 Ratings,"Rs. 1,100",Free,87%,100%,-35%,"Rs. 1,699",50%
Attitude Is Everything: Change Your Attitude and You Change Your Life! Book by Jeff Keller,85 Ratings,Rs. 281,Free,87%,100%,-72%,Rs. 995,100%
The Power of Now Book by Eckhart Tolle,71 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
Good to Great Book by James C. Collins,40 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
"(King of sins book 1 and 2) King Of Pride , King Of Wrath by Ana Huang set of 2 Books",28 Ratings,Rs. 723,Rs. 99,89%,100%,-28%,Rs. 999,98%
A Tale of Two Cities Novel by Charles Dickens,46 Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
The Brothers Hawthorne book by Jennifer Lynn Barnes,12 Ratings,Rs. 387,Rs. 99,89%,100%,-35%,Rs. 599,98%
twisted love book 1 by ana Huang,18 Ratings,Rs. 199,Free,82%,100%,-60%,Rs. 499,86%
The 4 Hour Workweek by Timothy Ferriss,40 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
Master Your English – 222 Rules of Grammar ENGLISH GRAMMAR & PART OF SPEECH,6 Ratings,Rs. 197,Free,94%,100%,-6%,Rs. 210,100%
How to Win Friends and Influence People Book by Dale Carnegie,127 Ratings,Rs. 340,Free,87%,100%,-80%,"Rs. 1,699",100%
$100M Offers By Alex Hormozi | Buy Books Online Bookberry | Amazon Bestseller,9 Ratings,Rs. 645,Rs. 99,92%,90%,-35%,Rs. 995,100%
The 48 Laws of Power by Robert Greene,32 Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
The Art of war Book by Sun Tzu Urdu Edition,11 Ratings,Rs. 495,Free,98%,97%,-29%,Rs. 700,100%
How to Analyze People a Book By Daniel Spade Urdu Edition,55 Ratings,Rs. 297,Free,98%,97%,-1%,Rs. 300,100%
